,title,answer
0,"모델의 파라미터값을 측정하기 위해 알고리즘 구현 과정에서 사용, 주로 알고리즘 사용자에 의해 결정, 경험에 의해 결정 가능한 값이며 모델 성능 향상을 위해 조절해주는 값은?", 하이퍼파라미터
1,신경망 모형의 활성함수 종류중 하나로 다음의 식으로 표현되는 활성함수는? y= 1/(1+exp(-z)),시그모이드함수
2,주어진 자료에서 단순랜덤 복원추출 방법을 활용하여 동일한 크기의 표본을 여러개 생성하는 샘플링 방법은?, 부트스트랩
3,배깅의 개념과 속성의 임의선택을 결합한 앙상블 기법 § 예측변수들을 임의로 추출하고 추출된 변수 내에서 최적의 분할 을 만들어나가는 방법을 사용하는 방식의 모델은?, 랜덤포레스트
4,L1 정규화를 위해 가중치의 절댓값과 동일한 페널티를 추가 제약조건으로 사용하는 임베디드 기법은?,라쏘
5,일련의 개체 또는 사건들 간의 규칙을 발견하기 위해 사용되는 대표적인 정형 데이터 마이닝 기법은?, 연관성 분석
6,긍정으로 예측한 범주에서 실제로 긍정인 비율을 무엇이라고 하는가?, 정밀도
7,"인공신경망의 한 종류, 코호넨 네트워크에 근간을 두고있으며 차원축소와 군집화를 동시에 수행하는 기법은?",SOM
8,여러개의 분류모형에 의한 결과를 종합하여 분류의 정확도를 높이는 방법은?,앙상블
9,"독립변수들 간에 강한 상관관계가 나타나서, 회귀분석의 전제가정인 독립변수들 간에 상관관계가 높으면 안된다는 조건을 위배하는 경우를 의미하는 용어는?",다중공선성
10,"연관규칙의 측정지표중 하나로 품목 A가 포함된 거래 중에서 품목 A,B를 동시에 포함하는 거래일 확률은 어느정도인가를 나타내는 지표는?",신뢰도(confidence)
11,"데이터를 저장하는 스토리지가 메인 메모리를 이용하는 방식의 데이터베이스 관리 시스템이며, 상대적으로 속도가 높은 성능을 보이는 것은?", 인메모리 데이터 베이스
12,분해시계열 분석에서 고정된 주기를 가지고 자료가 변화하는 요인은?, 계절요인
13,"수집 대상데이터를 추출, 정제 후 데이터 웨어 하우스나 데이터 마트에 저장하는 기술을 의미하는 용어는?",ETL
14,기업 또는 기관의 전사 차원에서 식별된 다양한 분석과제를 대상으로 제한된 예산과 자원을 효과적으로 수행하기 위해 우선순위를 평가하고 평가 결과에 따른 단계별 군현 로드맵을 수립하는 실행 계획, 분석마스터 플랜
15,개인과 집단들 간의 관계를 노드와 링크로서 모델링해 그것의 위상구조와 확산 및 진화과정을 계량저긍로 분석하는 방법론은?,사회연결망 분석(SNA)
16,M*N 차원의 행렬데이터에서 특이값을 추출하고 이를 통해 주어진 데이터 세트를 효과적으로 축약할 수 있는 차원 축소기법은?,특이값 분해
17,"교차검증의 대표적인 기법으로 데이터를 k개의 하부 집합으로 나누고 k번쨰의 하부집합을 검증, 나머지 k-1개의 하부집합을 훈련용 자료로 사용하는 방법",k-fold 교차검증
18,의사결정나무 구조는 나무의 가지를 생성하는 가지분할의 과정과 생성된 가지를 잘라내어 모형을 단순화하는 ( ) 이 과정으로 구성되어있다.,가지치기(pruning)
19,서로 다른 분류에 속한 데이터 간에 간격이 최대가 되는 선을 찾아 이를 초평면이라는 기준으로 하고 데이터를 분류하는 모델?,svm 
20,주어진 데이터에서 마진을 최대화 하는 초평면을 구하는 방법으로 학습하는 알고리즘은?, svm
21,자연어 처리 기술을 이용해 인간의 언어로 쓰인 비정형  텍스트에서 유용한 정보를 추출하거나 다른 데이터와의 연관성을 파악하기 위한 방법, 텍스트마이닝
22,대규모 분산 시스템 모니터링 및 agent와 collector 구성을 통해 하둡 분산 시스템으로 데이터를 수집하는 방식은?,척와
23,최소 지지도 보다 큰 집합만을 대상으로 높은 지지도를 갖는 품목집합을 찾는 연관분석 알고리즘으로 다음의 절차를 가지는 알고리즘의 이름은? 1. 최소 지지도 설정 2. 개별 품목 중에서 최소 지지도를 넘는 모든 품목찾음
 3. 2에서 찾은 개별 품목만을 이용하여 최소 지지도를 넘는 2가지 품목 집합을 찾는다. 4.  위 두 절차에서 찾는 품목 집합을 결합하여 최소 지지도를 넘는 3가지 품목 집합을 찾는다. 5. 반복적으로 수행해 지지도가 넘는 빈발품목 집합을 찾는다,apriori
24,( ) 은/는 필수 데이터가 입력이 안 되고 누락된 값을 의미하며 적재과정에서 임의 누락 또는 의도하지않은 결실등에 의해 발생한다,결측값
25,"인터넷상에서 제공되는 다양한 웹 사이트로부터 소셜 네트워크 정보, 뉴스, 게시판 등의 웹 문서 및 콘텐츠 수집 기술",크롤링
26,"원하는 군집수만큼 초기값을 지정하고, 각 개체를 가까운 초기값에 할당하여 군집을 형성한 뒤, 각 군집의 평균을 재계산하여 초기값을 갱신하는 군집방법은?",k-평균 군집
27,"네트워크를 통해 센서 데이터 및 오디오, 비디오 등의 미디어 데이터를 실시간으로 수집하는 기술", 스트리밍
28,"자연어 처리의 한 과정으로 접속사, 대명사 등을 제거해주고, 공통 어간을 가지는 단어를 묶기 위해 해주는 전처리는?",stemming
29,"사후확률의계산시조건부독립을가정하여계산을단순화한방 법으로, 사후확률이 큰 집단으로 새로운 데이터를 분류하는 모델은?", 나이브 베이즈 분류모형
30,다음 중 불균형 데이터 해결을 위한 샘플링 방법으로 적절하지 않은 것은?, 홀드아웃
31,"불순도의 측도로 출력변수가 범주형일 경우 지니지수를 이용, 연속형인 경우 분산을 이용한 이진분리를 사용하는 의사결정나무 알고리즘은?", CART
32,오버샘플링의 한 방식으로  데이터의 개수가 적은 클래스의 표본을 가져온 뒤 임의의 값을 추가하여 새로운 샘플을 만드는 데이터 불균형 해소 방법은?,SMOTE
33,"붓스트랩 표본을 구성하는 재표본 과정 에서 각 자료에 동일한 확률을 부여하는 것이 아니라, 분류가 잘 못된 데이터에 더 큰 가중을 주어 표본을 추출하는 앙상블 모형은?", 부스팅
34,문장에서 사용된 단어의 긍정과 부정여부에 따라 얼마나 긍정적인 단어가 많은지 소스를 부여해 긍정 문장인지 평가하는 데이터 마이닝의 한종류는?, 감성분석
35,"데이터 속성인 메타데이터를 가지며, 일반적으로 스토리지에 저장되는 데이터파일이며 HTML,XML,JSON등의 종류를 가지는 데이터 유형은?",반정형데이터
36,"인터넷상에서 제공되는 다양한 웹 사이트로부터 소셜 네트워크 정보, 뉴스, 게시판 등의 웹 문서 및 콘텐츠 수집 기술", 크롤링
37,비지도 신경망으로 고차원의 데이터를 이해하기 쉬운 저차원의 뉴런으로 정렬하여 지도의 형태로 형상화하는 군집분석방법의 한종류는?,SOM
